,age,assists,club,goals,handle,id,matches,minutes,minutes_per_goal,p_name,position,transfer_fee_pounds,transfer_status
0,28,1,Leicester City,3,islam-slimani,174915,6,446,149,Islam Slimani,Centre-Forward,£18.70m,in
1,23,0,Leicester City,2,ahmed-musa,168337,8,435,218,Ahmed Musa,Centre-Forward,£15.30m,in
2,24,0,Leicester City,0,nampalys-mendy,111051,1,53,0,Nampalys Mendy,Defensive Midfield,£6.38m,in
3,19,0,Leicester City,1,bartosz-kapustka,246579,4,353,353,Bartosz Kapustka,Attacking Midfield,£4.25m,in
5,26,0,Leicester City,0,luis-hernandez,62945,3,270,0,Luis Hernández,Centre-Back,£2.13m,in
6,23,2,Leicester City,1,tom-lawrence,229970,10,802,802,Tom Lawrence,Secondary Striker,£850k,in
7,29,0,Leicester City,1,yohan-benalouane,50477,4,300,300,Yohan Benalouane,Centre-Back,£2.55m,in
8,25,5,Leicester City,3,andrej-kramaric,46580,10,785,262,Andrej Kramaric,Centre-Forward,£6.38m,in
9,25,0,Leicester City,1,ngolo-kante,225083,11,990,990,N'Golo Kanté,Defensive Midfield,£17.00m,out
10,25,5,Leicester City,3,andrej-kramaric,46580,10,785,262,Andrej Kramaric,Centre-Forward,£6.38m,out
11,27,0,Leicester City,0,ritchie-de-laet,55687,3,227,0,Ritchie De Laet,Right-Back,£1.70m,out
12,23,1,Leicester City,0,liam-moore,128906,12,1.080,0,Liam Moore,Centre-Back,£1.70m,out
14,23,0,Leicester City,0,jacob-blyth,251914,2,29,0,Jacob Blyth,Centre-Forward,£85k,out
15,32,0,Leicester City,0,gokhan-inler,19041,4,189,0,Gökhan Inler,Central Midfield,£3.83m,out
16,33,11,Leicester City,29,dean-hammond,33065,215,18.590,641,Dean Hammond,Central Midfield,£425k,out
17,35,2,Leicester City,0,paul-konchesky,3296,16,1.440,0,Paul Konchesky,Left-Back,£425k,out
18,22,1,Leicester City,0,ryan-watson,121269,11,774,0,Ryan Watson,Defensive Midfield,-,out
19,22,2,Leicester City,1,tom-lawrence,229970,10,802,802,Tom Lawrence,Secondary Striker,£850k,out
21,23,0,Arsenal FC,1,granit-xhaka,111455,8,498,498,Granit Xhaka,Central Midfield,£29.75m,in
22,24,0,Arsenal FC,0,shkodran-mustafi,88590,8,720,0,Shkodran Mustafi,Centre-Back,£17.00m,in
23,27,0,Arsenal FC,0,lucas-perez,73185,3,87,0,Lucas Pérez,Centre-Forward,£10.20m,in
24,21,1,Arsenal FC,1,takuma-asano,245744,8,493,493,Takuma Asano,Centre-Forward,£1.02m,in
25,20,0,Arsenal FC,0,rob-holding,253341,3,270,0,Rob Holding,Centre-Back,£213k,in
26,25,0,Arsenal FC,0,jack-wilshere,74223,10,631,0,Jack Wilshere,Central Midfield,£19.55m,in
27,22,0,Arsenal FC,1,calum-chambers,215118,6,540,540,Calum Chambers,Right-Back,£10.20m,in
